filename,verdict,mismatch_rows,categories,croma_measures,ref_measures,measure_delta
tune_014784.abc,ARTIFACT_ABC2XML_DROPS_MUSIC,1144,duration|extra_in_croma|measure_alignment|missing_in_croma|voice,20,2,-18
tune_008657.abc,ARTIFACT_ABC2XML_DROPS_MUSIC,562,accidental|barline|duration|extra_in_croma|measure_alignment|missing_in_croma|octave|pitch|voice,21,17,-4
tune_011364.abc,ARTIFACT_ABC2XML_DROPS_MUSIC,443,accidental|barline|duration|extra_in_croma|measure_alignment|missing_in_croma|octave|pitch|slur|voice,36,32,-4
tune_011320.abc,ARTIFACT_ABC2XML_DROPS_MUSIC,165,duration|extra_in_croma|measure_alignment|missing_in_croma|voice,25,21,-4
tune_011865.abc,ARTIFACT_ABC2XML_DROPS_TACET,923,barline|duration|extra_in_croma|measure_alignment|missing_in_croma|voice,57,41,-16
tune_011164.abc,ARTIFACT_ABC2XML_DROPS_TACET,415,accidental|barline|duration|extra_in_croma|measure_alignment|missing_in_croma|octave|pitch|voice,36,30,-6
tune_010988.abc,ARTIFACT_ACCIDENTAL_ALTER,53,accidental,1,1,0
tune_011837.abc,ARTIFACT_ACCIDENTAL_ALTER,21,accidental,41,41,0
tune_010755.abc,ARTIFACT_ACCIDENTAL_ALTER,18,accidental,8,8,0
tune_001322.abc,ARTIFACT_ACCIDENTAL_ALTER,15,accidental,104,104,0
tune_011399.abc,ARTIFACT_ACCIDENTAL_ALTER,12,accidental,32,32,0
tune_011412.abc,ARTIFACT_ACCIDENTAL_ALTER,12,accidental,28,28,0
tune_011415.abc,ARTIFACT_ACCIDENTAL_ALTER,12,accidental,32,32,0
tune_015232.abc,ARTIFACT_ACCIDENTAL_ALTER,12,accidental,28,28,0
tune_001009.abc,ARTIFACT_ACCIDENTAL_ALTER,11,accidental,18,18,0
tune_004168.abc,ARTIFACT_ACCIDENTAL_ALTER,11,accidental,15,15,0
tune_010949.abc,ARTIFACT_ACCIDENTAL_ALTER,11,accidental,48,48,0
tune_013556.abc,ARTIFACT_ACCIDENTAL_ALTER,11,accidental,72,72,0
tune_000984.abc,ARTIFACT_ACCIDENTAL_ALTER,10,accidental,124,124,0
tune_005207.abc,ARTIFACT_ACCIDENTAL_ALTER,10,accidental,32,32,0
tune_012206.abc,ARTIFACT_ACCIDENTAL_ALTER,10,accidental,48,48,0
tune_003354.abc,ARTIFACT_ACCIDENTAL_ALTER,9,accidental,21,21,0
tune_004415.abc,ARTIFACT_ACCIDENTAL_ALTER,9,accidental,36,36,0
tune_005990.abc,ARTIFACT_ACCIDENTAL_ALTER,9,accidental,24,24,0
tune_006424.abc,ARTIFACT_ACCIDENTAL_ALTER,9,accidental,24,24,0
tune_003501.abc,ARTIFACT_ACCIDENTAL_ALTER,8,accidental,18,18,0
tune_009158.abc,ARTIFACT_ACCIDENTAL_ALTER,8,accidental,32,32,0
tune_011413.abc,ARTIFACT_ACCIDENTAL_ALTER,8,accidental,30,30,0
tune_011417.abc,ARTIFACT_ACCIDENTAL_ALTER,8,accidental,19,19,0
tune_000870.abc,ARTIFACT_ACCIDENTAL_ALTER,7,accidental,1,1,0
tune_001529.abc,ARTIFACT_ACCIDENTAL_ALTER,7,accidental,52,52,0
tune_001536.abc,ARTIFACT_ACCIDENTAL_ALTER,7,accidental,52,52,0
tune_003296.abc,ARTIFACT_ACCIDENTAL_ALTER,7,accidental,60,60,0
tune_003353.abc,ARTIFACT_ACCIDENTAL_ALTER,7,accidental,18,18,0
tune_006586.abc,ARTIFACT_ACCIDENTAL_ALTER,7,accidental,52,52,0
tune_007712.abc,ARTIFACT_ACCIDENTAL_ALTER,7,accidental,18,18,0
tune_012632.abc,ARTIFACT_ACCIDENTAL_ALTER,7,accidental,11,11,0
tune_013936.abc,ARTIFACT_ACCIDENTAL_ALTER,7,accidental,18,18,0
tune_014815.abc,ARTIFACT_ACCIDENTAL_ALTER,7,accidental,27,27,0
tune_015039.abc,ARTIFACT_ACCIDENTAL_ALTER,7,accidental,8,8,0
tune_000963.abc,ARTIFACT_ACCIDENTAL_ALTER,6,accidental,17,17,0
tune_001176.abc,ARTIFACT_ACCIDENTAL_ALTER,6,accidental,112,112,0
tune_001303.abc,ARTIFACT_ACCIDENTAL_ALTER,6,accidental,56,56,0
tune_001851.abc,ARTIFACT_ACCIDENTAL_ALTER,6,accidental,52,52,0
tune_002042.abc,ARTIFACT_ACCIDENTAL_ALTER,6,accidental,56,56,0
tune_004812.abc,ARTIFACT_ACCIDENTAL_ALTER,6,accidental,64,64,0
tune_008196.abc,ARTIFACT_ACCIDENTAL_ALTER,6,accidental,28,28,0
tune_008225.abc,ARTIFACT_ACCIDENTAL_ALTER,6,accidental,14,14,0
tune_008452.abc,ARTIFACT_ACCIDENTAL_ALTER,6,accidental,26,26,0
tune_009926.abc,ARTIFACT_ACCIDENTAL_ALTER,6,accidental,12,12,0
tune_010094.abc,ARTIFACT_ACCIDENTAL_ALTER,6,accidental,18,18,0
tune_010103.abc,ARTIFACT_ACCIDENTAL_ALTER,6,accidental,18,18,0
tune_011119.abc,ARTIFACT_ACCIDENTAL_ALTER,6,accidental,17,17,0
tune_011122.abc,ARTIFACT_ACCIDENTAL_ALTER,6,accidental,17,17,0
tune_013510.abc,ARTIFACT_ACCIDENTAL_ALTER,6,accidental,164,164,0
tune_014823.abc,ARTIFACT_ACCIDENTAL_ALTER,6,accidental,16,16,0
tune_000393.abc,ARTIFACT_ACCIDENTAL_ALTER,5,accidental,3,3,0
tune_000825.abc,ARTIFACT_ACCIDENTAL_ALTER,5,accidental,48,48,0
tune_001449.abc,ARTIFACT_ACCIDENTAL_ALTER,5,accidental,52,52,0
tune_003220.abc,ARTIFACT_ACCIDENTAL_ALTER,5,accidental,64,64,0
tune_003419.abc,ARTIFACT_ACCIDENTAL_ALTER,5,accidental,68,68,0
tune_003495.abc,ARTIFACT_ACCIDENTAL_ALTER,5,accidental,15,15,0
tune_003754.abc,ARTIFACT_ACCIDENTAL_ALTER,5,accidental,15,15,0
tune_004103.abc,ARTIFACT_ACCIDENTAL_ALTER,5,accidental,26,26,0
tune_005543.abc,ARTIFACT_ACCIDENTAL_ALTER,5,accidental,48,48,0
tune_007144.abc,ARTIFACT_ACCIDENTAL_ALTER,5,accidental,128,128,0
tune_008247.abc,ARTIFACT_ACCIDENTAL_ALTER,5,accidental,14,14,0
tune_008250.abc,ARTIFACT_ACCIDENTAL_ALTER,5,accidental,14,14,0
tune_010421.abc,ARTIFACT_ACCIDENTAL_ALTER,5,accidental,17,17,0
tune_012949.abc,ARTIFACT_ACCIDENTAL_ALTER,5,accidental,17,17,0
tune_013456.abc,ARTIFACT_ACCIDENTAL_ALTER,5,accidental,176,176,0
tune_014876.abc,ARTIFACT_ACCIDENTAL_ALTER,5,accidental,24,24,0
tune_014878.abc,ARTIFACT_ACCIDENTAL_ALTER,5,accidental,24,24,0
tune_014882.abc,ARTIFACT_ACCIDENTAL_ALTER,5,accidental,24,24,0
tune_015329.abc,ARTIFACT_ACCIDENTAL_ALTER,5,accidental,19,19,0
tune_000495.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,56,56,0
tune_000520.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,56,56,0
tune_000532.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,17,17,0
tune_000586.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,52,52,0
tune_000757.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,52,52,0
tune_000953.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,48,48,0
tune_001172.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,108,108,0
tune_001210.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,48,48,0
tune_001225.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,48,48,0
tune_001369.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,52,52,0
tune_001397.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,68,68,0
tune_001456.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,52,52,0
tune_001556.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,52,52,0
tune_001742.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,44,44,0
tune_001754.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,48,48,0
tune_003292.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,88,88,0
tune_003390.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,21,21,0
tune_003442.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,56,56,0
tune_003452.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,80,80,0
tune_003755.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,15,15,0
tune_003756.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,15,15,0
tune_003845.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,16,16,0
tune_004459.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,9,9,0
tune_005698.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,16,16,0
tune_005700.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,16,16,0
tune_005701.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,16,16,0
tune_005757.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,17,17,0
tune_006780.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,160,160,0
tune_006821.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,49,49,0
tune_006919.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,17,17,0
tune_007740.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,17,17,0
tune_007907.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,25,25,0
tune_008569.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,7,7,0
tune_009334.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,16,16,0
tune_009924.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,12,12,0
tune_010556.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,18,18,0
tune_010691.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,51,51,0
tune_010745.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,19,19,0
tune_011032.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,24,24,0
tune_011121.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,17,17,0
tune_012346.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,97,97,0
tune_012635.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,17,17,0
tune_013279.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,18,18,0
tune_013280.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,18,18,0
tune_013519.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,14,14,0
tune_013643.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,9,9,0
tune_014517.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,24,24,0
tune_015466.abc,ARTIFACT_ACCIDENTAL_ALTER,4,accidental,12,12,0
tune_000415.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,52,52,0
tune_000416.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,48,48,0
tune_000424.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,68,68,0
tune_000449.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,76,76,0
tune_000496.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,48,48,0
tune_000635.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,44,44,0
tune_000697.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,36,36,0
tune_000838.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,36,36,0
tune_000840.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,68,68,0
tune_000917.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,48,48,0
tune_001139.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,20,20,0
tune_001290.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,36,36,0
tune_001377.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,48,48,0
tune_001496.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,52,52,0
tune_001540.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,48,48,0
tune_001601.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,52,52,0
tune_001775.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,76,76,0
tune_001777.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,48,48,0
tune_001838.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,48,48,0
tune_001986.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,64,64,0
tune_001987.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,72,72,0
tune_002015.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,84,84,0
tune_002026.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,48,48,0
tune_002027.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,56,56,0
tune_002373.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,27,27,0
tune_003129.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,3,3,0
tune_003356.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,56,56,0
tune_003363.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,26,26,0
tune_003413.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,17,17,0
tune_003424.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,76,76,0
tune_003511.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,20,20,0
tune_003512.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,68,68,0
tune_003529.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,56,56,0
tune_003899.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,36,36,0
tune_004075.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,27,27,0
tune_004078.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,26,26,0
tune_004079.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,27,27,0
tune_004080.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,26,26,0
tune_004082.abc,ARTIFACT_ACCIDENTAL_ALTER,3,accidental,26,26,0
